,Total:,No bedroom,1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 or more bedrooms,county
06001451102,1326.0,0.0,0.0,36.0,339.0,440.0,511.0,ala
06001451201,2629.0,0.0,191.0,707.0,963.0,720.0,48.0,ala
06001451202,1233.0,0.0,11.0,87.0,655.0,471.0,9.0,ala
06001451300,2385.0,0.0,153.0,355.0,821.0,916.0,140.0,ala
06001451401,2286.0,31.0,300.0,512.0,754.0,647.0,42.0,ala
06001451403,787.0,0.0,22.0,46.0,618.0,82.0,19.0,ala
06001451404,2177.0,84.0,154.0,856.0,854.0,206.0,23.0,ala
06001451501,1762.0,0.0,262.0,395.0,439.0,510.0,156.0,ala
06001451503,2125.0,23.0,159.0,297.0,1087.0,493.0,66.0,ala
06001451504,589.0,0.0,46.0,123.0,157.0,263.0,0.0,ala
06001451505,1143.0,0.0,0.0,14.0,442.0,664.0,23.0,ala
06001451506,1114.0,0.0,161.0,439.0,261.0,239.0,14.0,ala
06001451601,1769.0,23.0,133.0,512.0,522.0,476.0,103.0,ala
06001451602,2778.0,52.0,612.0,553.0,970.0,430.0,161.0,ala
06001451701,1049.0,0.0,0.0,13.0,749.0,227.0,60.0,ala
06001451703,1336.0,0.0,0.0,72.0,499.0,631.0,134.0,ala
06001451704,1653.0,0.0,152.0,105.0,769.0,501.0,126.0,ala
06001981900,38.0,19.0,9.0,0.0,10.0,0.0,0.0,ala
06001982000,20.0,0.0,0.0,0.0,20.0,0.0,0.0,ala
06001983200,211.0,0.0,54.0,72.0,66.0,9.0,10.0,ala
06001990000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ala
06013301000,1769.0,37.0,230.0,803.0,473.0,208.0,18.0,con
06013302005,2321.0,0.0,177.0,283.0,1156.0,687.0,18.0,con
06013302006,1365.0,0.0,0.0,0.0,642.0,632.0,91.0,con
06013302007,2080.0,35.0,71.0,368.0,792.0,749.0,65.0,con
06013302008,2132.0,0.0,79.0,361.0,549.0,786.0,357.0,con
06013302009,1585.0,9.0,88.0,29.0,628.0,474.0,357.0,con
06013302010,2938.0,11.0,0.0,138.0,1250.0,1046.0,493.0,con
06013303102,2011.0,0.0,99.0,279.0,703.0,534.0,396.0,con
06013303103,3331.0,55.0,175.0,632.0,1342.0,891.0,236.0,con
