,P030001 Total: Workers 16 years and over,P030005 Total:  Public transportation:
06017031406,2223.0,10.0
06017031502,2163.0,38.0
06017031503,1115.0,6.0
06017031504,2060.0,9.0
06019000100,64.0,11.0
06019000200,679.0,52.0
06019000300,874.0,49.0
06019000400,1298.0,76.0
06019000500,1664.0,136.0
06019000600,1438.0,110.0
06019000700,1171.0,80.0
06019000800,150.0,28.0
06019000900,1226.0,62.0
06019001000,813.0,56.0
06019001100,659.0,97.0
06019001201,1271.0,110.0
06019001202,1104.0,13.0
06019001301,1531.0,120.0
06019001302,1863.0,194.0
06019001403,2224.0,25.0
06019001404,2039.0,8.0
06019001405,1960.0,76.0
06019001406,2284.0,17.0
06019001500,711.0,0.0
06019001600,1569.0,0.0
06019001700,1503.0,0.0
06019001800,1507.0,23.0
06019001900,910.0,0.0
06019002000,1580.0,47.0
06019002100,1859.0,36.0
06019002200,1781.0,46.0
06019002300,1386.0,59.0
06019002400,1105.0,74.0
06019002501,1191.0,28.0
06019002502,903.0,80.0
06019002601,1393.0,96.0
06019002602,958.0,54.0
06019002701,1223.0,45.0
06019002702,1436.0,39.0
06019002800,1071.0,49.0
06019002901,2513.0,44.0
06019002902,1982.0,41.0
06019003001,1131.0,70.0
06019003002,2076.0,30.0
06019003101,4078.0,48.0
06019003102,2786.0,19.0
06019003201,1415.0,44.0
06019003202,1838.0,66.0
06019003300,2638.0,69.0
06019003400,1359.0,86.0
06019003500,2175.0,52.0
06019003600,1952.0,29.0
06019003700,2716.0,72.0
06019003801,2938.0,74.0
06019003803,1581.0,15.0
06019003804,1836.0,35.0
06019003805,2209.0,33.0
06019003806,2660.0,3.0
06019003900,1847.0,7.0
06019004000,3181.0,11.0
06019004100,1065.0,0.0
06019004205,2656.0,52.0
06019004206,2338.0,0.0
06019004207,1223.0,46.0
06019004208,2607.0,0.0
06019004209,4337.0,54.0
06019004210,1629.0,15.0
06019004211,1982.0,0.0
06019004212,3484.0,41.0
06019004301,1855.0,0.0
06019004302,2445.0,7.0
06019004303,1961.0,0.0
06019004404,1318.0,40.0
06019004405,1991.0,0.0
06019004406,2480.0,19.0
06019004407,4015.0,12.0
06019004503,2454.0,35.0
06019004504,2048.0,32.0
06019004505,1559.0,22.0
06019004506,1514.0,0.0
06019004601,1076.0,0.0
06019004602,1277.0,13.0
06019004701,2550.0,28.0
06019004703,1352.0,24.0
06019004704,1387.0,84.0
06019004800,2829.0,99.0
06019004900,2431.0,95.0
06019005000,1651.0,76.0
06019005100,2038.0,140.0
06019005201,2929.0,90.0
06019005202,1060.0,21.0
06019005301,1885.0,39.0
06019005302,2278.0,58.0
06019005304,2493.0,63.0
06019005305,1355.0,43.0
06019005403,1653.0,57.0
06019005404,2834.0,59.0
06019005405,2018.0,31.0
06019005406,1966.0,33.0
06019005407,1714.0,21.0
06019005408,255.0,12.0
06019005503,1740.0,0.0
06019005504,785.0,7.0
06019005505,1520.0,0.0
06019005506,5575.0,8.0
06019005507,2880.0,0.0
06019005508,1392.0,0.0
06019005509,1731.0,0.0
06019005510,2468.0,13.0
06019005511,1297.0,10.0
06019005512,1808.0,0.0
06019005513,1315.0,0.0
06019005514,1561.0,0.0
06019005515,556.0,0.0
06019005602,1983.0,19.0
06019005604,2933.0,35.0
06019005605,993.0,4.0
06019005606,1591.0,0.0
06019005701,1529.0,36.0
06019005702,2435.0,0.0
06019005703,2795.0,0.0
06019005704,2485.0,33.0
06019005801,2115.0,2.0
06019005802,1636.0,0.0
06019005803,3210.0,17.0
06019005902,3233.0,0.0
06019005903,2616.0,7.0
06019005904,1060.0,0.0
06019006000,2497.0,8.0
06019006100,2046.0,20.0
06019006200,2442.0,44.0
06019006300,2255.0,11.0
