,P052001 Total: Households,"P052002 Total:  Less than $10,000"
06013338201,1408.0,34.0
06013338202,5336.0,201.0
06013338301,1057.0,0.0
06013338302,2129.0,63.0
06013339000,4711.0,275.0
06013340001,2432.0,61.0
06013340002,2981.0,63.0
06013341000,1995.0,87.0
06013342000,2222.0,68.0
06013343001,2061.0,46.0
06013343002,1989.0,99.0
06013343003,1461.0,51.0
06013344000,426.0,16.0
06013345101,2151.0,21.0
06013345102,1390.0,32.0
06013345103,1915.0,52.0
06013345105,2099.0,26.0
06013345107,3994.0,56.0
06013345108,2998.0,30.0
06013345109,3091.0,59.0
06013345110,2282.0,19.0
06013345201,3799.0,85.0
06013345202,2803.0,61.0
06013346101,1300.0,20.0
06013346102,1867.0,33.0
06013346201,2414.0,14.0
06013346202,3740.0,38.0
06013347000,2195.0,23.0
06013348000,1633.0,47.0
06013349000,1921.0,71.0
06013350000,2416.0,67.0
06013351100,5960.0,255.0
06013351200,2088.0,8.0
06013352101,860.0,19.0
06013352102,1827.0,14.0
06013352201,2278.0,50.0
06013352202,951.0,9.0
06013353001,1330.0,41.0
06013353002,1410.0,7.0
06013354001,751.0,4.0
06013354002,2491.0,81.0
06013355101,4552.0,70.0
06013355104,5280.0,14.0
06013355106,3140.0,64.0
